Series,Character Name,Outfit,Status,Con,,Wig Color,,Eye Color,,Top,,Top,,Top,,Top,,Bottom,,Bottom,,Bottom,,Socks,,Shoes,,Accessories,,Accessories,,Accessories,,Accessories,,Other,,Other,,Prop
Dragon Ball Z,Android 17,Default,88.89%,,TRUE,Black,FALSE,Blue,TRUE,White Long Sleeve Undershirt,TRUE,Black Tshirt,TRUE,Orange Scarf,,,TRUE,Jean Shorts,TRUE,Belt + Utility Belt,TRUE,Green Leg Warmers,,,TRUE,Blue Sneakers,,,,,,,,,,,,,,
Drakenguard 3,Zero,Default,46.67%,,FALSE,White,FALSE,Pink,TRUE,White Dress,TRUE,White Sleeve (Right),TRUE,Cape,FALSE,Glove,TRUE,Shorts,TRUE,Gold Shorts Add On,TRUE,Thigh Loop,FALSE,White Socks,FALSE,Heels,TRUE,Hair Bow,FALSE,Eye Flower,,,,,FALSE,Arm Armor,,,FALSE,Sword
Final Fantasy IX,Lani,Default,0.00%,,FALSE,Red ; Auburn,FALSE,Brown,FALSE,White Top,FALSE,Tan half Jacket,FALSE,Tan Arm warmers,FALSE,Black Fingerless Gloves,FALSE,Black Spanks,FALSE,Skirt + Chain,,,,,FALSE,Red Shoes + Belts,FALSE,Head Scarf + Feather,,,,,,,,,,,FALSE,Axe
Final Fantasy IX,Eiko,Default,0.00%,,FALSE,Blue,FALSE,Green,FALSE,Pink Bodysuit,FALSE,Yellow Jumper,FALSE,Orange half jacket,,,,,,,,,,,FALSE,D.Brown Shoes + White Covers,FALSE,Hair Bow,FALSE,Horn,FALSE,Wings,FALSE,Yellow Belt,,,,,FALSE,Flute Prop
Final Fantasy IX,Garnet,Default,0.00%,,FALSE,Black,FALSE,Brown,FALSE,White Blouse,FALSE,Orange Jumpsuit,FALSE,Brown Gloves,,,FALSE,White Leg Belts,,,,,,,FALSE,Dark Red Short Boots,FALSE,Necklace,FALSE,Choker,,,,,,,,,FALSE,Staff
Final Fantasy IX,Soldier,Standard,0.00%,,FALSE,Blonde,FALSE,Any,FALSE,Green Leotard,FALSE,Chest Armor,FALSE,Bicep Straps,,,FALSE,Belt,,,,,,,FALSE,Brown Boots + Straps,FALSE,Brown Gloves,FALSE,Gauntlet,FALSE,Helmet,,,,,,,FALSE,Sword + Shield
Final Fantasy VII,Yuffie,Default,0.00%,,FALSE,Black,FALSE,Brown,FALSE,Green Top,FALSE,Black Shoulder Armor + Belts,FALSE,Tan Arm Guard,FALSE,Black Arm Sleeve,FALSE,Khaki Shorts,FALSE,Tan Leg Warmers,FALSE,1x Fishnet Leg,,,FALSE,Orange Sneakers,FALSE,Headband,FALSE,1x Orange Glove,FALSE,Arm Armor,,,,,,,FALSE,Giant Shuriken
Final Fantasy VII,Aerith,Remake,0.00%,,FALSE,Brown,FALSE,Green,FALSE,Pink Dress,FALSE,Red Jacket,,,,,,,,,,,,,FALSE,Black Boots,FALSE,Necklace,FALSE,Bracelets,FALSE,Hair Bow,,,,,,,FALSE,Staff
Final Fantasy VII,Tifa,Remake,72.73%,,FALSE,Black,FALSE,Red,TRUE,Black/White Top,TRUE,Suspenders,,,,,TRUE,Skirt,TRUE,Skirt Flaps x2,TRUE,Belt,TRUE,Black Thigh Highs,FALSE,Red Boots,TRUE,Gloves,TRUE,Wrist Guard,,,,,,,,,,
Final Fantasy X-2,Rikku,Default/Thief,0.00%,,FALSE,Blonde ; Light,FALSE,Green,FALSE,Yellow Bikini Top,FALSE,Scarf,FALSE,Brown Gloves,FALSE,Bow Sleeves,FALSE,Green Skirt,,,,,,,FALSE,Boots,FALSE,Earrings,,,,,,,,,,,FALSE,Dagger Props
Final Fantasy XV,Cindy,Default,75.00%,,FALSE,Blonde,FALSE,Green,TRUE,Jacket Top,TRUE,Peach Bra,TRUE,Hat,,,TRUE,Shorts,TRUE,Utility Belt,TRUE,Peach Thong,TRUE,Black Pleather Thigh High (Belts),TRUE,White Boots,TRUE,Goggles,,,,,,,,,,,FALSE,Wrench
Final Fantasy XV,Cindy,Jumpsuit,75.00%,,FALSE,Blonde,FALSE,Green,TRUE,Jumpsuit,TRUE,Peach Tank,TRUE,Hat,,,,,TRUE,Utility Belt,,,,,TRUE,Brown Boots,TRUE,Goggles,,,,,,,,,,,,
Fire Emblem,Tharja,Default,84.62%,,TRUE,Purple ; Dark,FALSE,Purple,TRUE,Body Stocking,TRUE,Bra ,TRUE,Gold Collar,TRUE,Cape,TRUE,Black Underwear,TRUE,Belt,,,,,TRUE,Gold Heels + Straps,TRUE,Leg & Arm Bangles,TRUE,Hair Decor,FALSE,Gold Middle Rings,,,,,,,TRUE,Book
Fire Emblem,Nowi,Default,0.00%,,FALSE,Blonde ; Green Tips,FALSE,Purple,FALSE,Scale Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Force,Tamaki,Uniform,63.64%,,TRUE,Black,FALSE,Orange,FALSE,Black Bikini Top,TRUE,Uniform Jacket,TRUE,Gloves,,,TRUE,Uniform Pants,TRUE,Belt,TRUE,Pouches,,,FALSE,Black Boots,TRUE,Neck Guard,,,,,,,,,,,FALSE,Fire Ears
Houseki No Kuni,Diamond,Default,40.00%,,FALSE,White ; Prism Streaks,FALSE,Crystal / Rainbow,TRUE,Black Bodysuit,TRUE,White Tshirt,FALSE,White Gloves,FALSE,Black Tie,TRUE,White Belt,,,,,TRUE,White Thigh Highs,FALSE,Black Heeled Loafers,,,,,,,,,,,,,FALSE,Sword
Houseki No Kuni,Phos,Default,42.86%,,FALSE,Teal,FALSE,Teal,TRUE,Black Bodysuit,TRUE,White Tshirt,,,FALSE,Black Tie,TRUE,White Belt,,,,,,,FALSE,Black Heeled Loafers,,,,,,,,,,,,,,
Inuyasha,Kagome,Default,75.00%,,TRUE,Black,FALSE,Brown,TRUE,Seifuku Top,,,,,,,TRUE,Seifuku Skirt,,,,,TRUE,White Knee High,TRUE,Brown Loafers,FALSE,Shikon No Tama,,,,,,,,,,,TRUE,Bow and Arrow
Inuyasha,Ayame,Default,8.33%,,FALSE,Red ; Dark Copper,FALSE,Green,FALSE,Armor Top,FALSE,Fur Cape,FALSE,Fur Wristbands,,,FALSE,Fur Skirt,FALSE,Fur Leg Warmers,,,,,,,FALSE,Headband + Hair Flower,FALSE,Elf Ears,FALSE,Necklace,,,TRUE,Fangs,,,FALSE,Sword
Inuyasha,Yura,Default,90.00%,,TRUE,Black,FALSE,Pink,TRUE,Black Dress,TRUE,Black Arm Warmers,TRUE,Yellow Obi,,,TRUE,Black Leg Warmers,,,,,,,,,TRUE,Black Choker,TRUE,Red Hair Bow,,,,,TRUE,U Plunge Bra,,,TRUE,Sword
Inuyasha,Rin,Default,75.00%,,TRUE,Black,FALSE,Brown,TRUE,Orange/Yellow Kimono,TRUE,Green Obi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill La Kill,Ryuko,Default,50.00%,,FALSE,Blue ; Dark ; Red Streak,FALSE,Blue,TRUE,Navy Seifuku Top,TRUE,Eyepatch,,,,,TRUE,Suspenders,TRUE,Navy Skirt,FALSE,Belt,,,TRUE,White Tennis Shoes,FALSE,Red Glove,,,,,,,,,,,FALSE,Scissor Blade
Kingdom Hearts,Aqua,Default,57.14%,,TRUE,Blue ; Demin,FALSE,Blue,TRUE,Navy Top,FALSE,Black Corset,TRUE,Pink Cross Straps,TRUE,White Sleeves,TRUE,Blue Skirts,TRUE,Black Shorts,TRUE,White Ribbons,TRUE,Black Thigh High,FALSE,Black Boots + Armor,FALSE,Arm Armor,FALSE,Gray Gloves,,,,,,,,,FALSE,Keyblade
Mirai Nikki,Yuno,Uniform,87.50%,,TRUE,Pink,FALSE,Pink,TRUE,Purple Seifuku Top,,,,,,,TRUE,Purple Skirt,,,,,TRUE,White Socks,TRUE,Brown Loafers,TRUE,Hair Bows,,,,,,,,,,,TRUE,Knife
Misc,ANY,Black Bunny Suit,100.00%,,TRUE,Any,TRUE,Any,TRUE,Black Bunny Suit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naruto,Naruko,Shippuden,0.00%,,FALSE,Blonde ; Light,FALSE,Blue,FALSE,Orange Jacket,FALSE,Mesh Ninja Shirt,,,,,FALSE,Orange Bottoms,FALSE,Ninja Pouch,,,,,FALSE,Black Ninja Shoes,,,,,,,,,,,,,,
Naruto,Sarada,Default,0.00%,,FALSE,Black,FALSE,Black,FALSE,Red Top,FALSE,Black Arm Warmers,,,,,FALSE,White Shorts,FALSE,Ninja Pouch,,,FALSE,Black Above Knee Socks,FALSE,Black Ninja Shoes,FALSE,Red Glasses,,,,,,,,,,,,
Naruto,Deidara,Athotsuki,66.67%,,FALSE,Blonde,FALSE,Blue,TRUE,Akatsuki Top,TRUE,Headband,,,,,TRUE,Akatsuki Shorts,TRUE,Fishnets,,,,,TRUE,Black Tennis Shoes,TRUE,Choker,FALSE,Ring,,,,,,,,,,
Naruto,Akene,Default,75.00%,,TRUE,Silver,FALSE,Pink,TRUE,Purple Leotard,TRUE,Tan Arm Warmers,FALSE,Purple Obi,,,TRUE,Red Pants,TRUE,Fishnets,,,,,TRUE,Black Heels,,,,,,,,,,,,,,
Naruto,Sakura,The Last,90.00%,,TRUE,Pink,FALSE,Green,TRUE,Red Top,TRUE,Brown Obi,TRUE,Black gloves,,,TRUE,Black Shorts,TRUE,Ninja Pouch,,,,,TRUE,Black Ninja Shoes,TRUE,White Bag,TRUE,Red Headband,,,,,,,,,,
Neon Genesis Evangelion,Rei,School Uniform,90.91%,,TRUE,Blue,FALSE,Red,TRUE,White Shirt,TRUE,Blue Dress,TRUE,Red Ribbon,,,,,,,,,TRUE,Black Knee High,TRUE,White Shoes,TRUE,Eyepatch,TRUE,Bloody Bandages,TRUE,Lilith Mask,,,,,,,TRUE,Bat
Persona 4,Chie,Default,66.67%,,TRUE,Brown,FALSE,Brown,TRUE,Green Jacket,TRUE,Tanktop,,,,,TRUE,Skirt,FALSE,Athletic Shorts,,,TRUE,White Socks,TRUE,Black Loafers,FALSE,Yellow Glasses,,,,,,,,,,,,
Pokemon,Meowth,Military,91.67%,,TRUE,Blonde ; Dark Ash,FALSE,Gold,TRUE,White BodySuit,TRUE,Epaulettes w/Rope,TRUE,Hat w/ Coin,TRUE,Cuffs and Collar,TRUE,Tail,,,,,TRUE,White Thigh High,TRUE,Brown Boots,TRUE,Cravat,TRUE,Ears,,,,,,,,,TRUE,Flagpole
Pokemon,Poliwrath,Gijinka,71.43%,,TRUE,Blue,FALSE,Blue,TRUE,Blue and White Dress,,,,,,,TRUE,White Shorts / Underwear,,,,,TRUE,Blue Thigh High,FALSE,White Shoes,TRUE,Hand Wraps,,,,,,,,,,,,
Pokemon,Poliwrath,Swimsuit,71.43%,,TRUE,Blue,FALSE,Blue,TRUE,Blue Swimsuit Top,,,,,,,TRUE,White Swimsuit Bodysuit,,,,,TRUE,Blue Thigh High,FALSE,White Shoes,TRUE,Hand Wraps,,,,,,,,,,,,
Pokemon,Kyogre,Gijinka,87.50%,,TRUE,Blue ; Indigo,FALSE,Orange,TRUE,Blue Top,,,,,,,TRUE,White Thong,TRUE,Red Belt,TRUE,Shell Belt,,,TRUE,Blue Lace Ups,TRUE,Pearl Headband,,,,,,,,,,,,
Pokemon,Scorbunny,Gijinka,87.50%,,TRUE,White,FALSE,Orange,TRUE,White Crop Top,TRUE,Jacket,,,,,TRUE,White Shorts,,,,,TRUE,White Thigh Highs,TRUE,Orange Sneakers,TRUE,Bunny tail,,,,,,,,,,,,
Sailor Moon x Star Wars,Sailor Moon,Jedi,0.00%,,FALSE,Blonde,FALSE,Blue,FALSE,Blue Undershirt,FALSE,White Robe,FALSE,Pink + White Arm Wraps,FALSE,Pink Belt,FALSE,Dark Blue Pants,,,,,,,FALSE,Pink Boots,FALSE,Hair Accessories,,,,,,,,,,,FALSE,Pink Lightsaber
Shaman King,Anna,Default,71.43%,,FALSE,Blonde; Pale,FALSE,Brown,TRUE,Black Dress,TRUE,Red Head Bandana,TRUE,Blue Bead Necklace,TRUE,Blue Bead Bracelet,,,,,,,,,TRUE,Red Japanese Sandals,,,,,,,,,,,,,,
Super Mario,Bowsette,Default,90.91%,,TRUE,Blonde ; Light,FALSE,Blue,TRUE,Black Leotard,TRUE,Crown + Horns,TRUE,Spike Choker,TRUE,Spike Bracelets,,,,,,,TRUE,Black Thigh Highs,TRUE,Black Short Boots,TRUE,Blue Earrings,TRUE,Elf Ears,,,,,TRUE,Fangs,,,,
Zelda,Poe,Default,92.31%,,TRUE,Purple,FALSE,Red,TRUE,Black Leotard,TRUE,Red Cloak,TRUE,Purple Cloak,TRUE,Black Arm Warmers,,,,,,,TRUE,Black Thigh Highs,TRUE,Black Ankle Boots,TRUE,Skull Clasp,TRUE,Elf Ears,TRUE,Gold Hoops,,,TRUE,Fangs,,,TRUE,Lantern
Zelda,Link,Zelda Kimono Dress,60.00%,,FALSE,Blonde,FALSE,Blue,TRUE,Green Dress,TRUE,Obi + Bow,,,,,,,,,,,,,,,,,,,TRUE,Elf Ears,,,,,,,,
Zelda: A Link to The Past,Link,Genderbend,0.00%,,FALSE,Pink,FALSE,Blue,FALSE,Green Tunic Dress,FALSE,Brown Long Sleeve Leotard,,,,,,,,,,,FALSE,Brown Thigh High,FALSE,Dark Brown Boots,FALSE,Hat,FALSE,Earrings,FALSE,Belt + Triforce Buckle,FALSE,Blue Belt Pouch,,,,,FALSE,Sword
Zelda: Breath of The Wild,Zelda,Winter,0.00%,,FALSE,Blonde,FALSE,Blue,FALSE,Coat,FALSE,Poncho,FALSE,Brown Gloves,FALSE,Belt,FALSE,Dark Khaki Pants,,,,,,,FALSE,Boots,FALSE,Poncho Triforce broach,FALSE,Blue Hair Clips,,,,,,,,,,
Zelda: Breath of The Wild,Zelda,White Dress,44.44%,,FALSE,Blonde,FALSE,Blue,TRUE,White Dress,TRUE,Belt,,,,,TRUE,Skirt Dress,,,,,,,FALSE,Brown Sandals,FALSE,Bracers,FALSE,Necklace,TRUE,Elf Ears,,,,,,,,
Zelda: Hyrule Warriors,Linkle,Art Nouveau,61.54%,,FALSE,Blonde ; Light,FALSE,Blue,TRUE,White Corset + Lacing,TRUE,Sleeves,FALSE,Green Cloak,,,TRUE,Orange Skirt,TRUE,Belt,,,TRUE,Tan Above Knee,TRUE,Brown Boots,FALSE,Hair Flowers,TRUE,Elf Ears,TRUE,Blue Gem,,,,,,,FALSE,Crossbows
Zelda: Majora's Mask,Majora's Mask,Default,85.71%,,TRUE,Purple ; Grape,FALSE,Orange,TRUE,Purple Top,TRUE,Hair Clips,TRUE,Brown Gloves,TRUE,Horns,TRUE,Purple Pants,TRUE,Purple Skirt,TRUE,Green Belt + Red Buckle,,,FALSE,Red/Purple Japanese sandals,TRUE,4x Gold Bangles,TRUE,Red Fluffy Arm + Leg Bands,TRUE,Elf Ears,,,TRUE,Fangs,,,,
Zelda: Tears of the Kingdom,Zelda,Zonai Dress,0.00%,,FALSE,Blonde,FALSE,Green,FALSE,Green Dress 1st Layer,FALSE,Tan Dress 2nd layer,FALSE,Green Tabard,FALSE,Tabard Pieces,,,,,,,,,FALSE,Sandals,FALSE,Lotus Earrings,FALSE,Necklace + Secret Stone ,FALSE,Crown,FALSE,"Wrist, Ankle, Bicep Jewelry",FALSE,Elf Ears,FALSE,White Makeup,,
